,DATE,ESTACION,MAGNITUD,TECNICA,VALUE
747600,2011-01-01 04:00:00,28079004,7,8,28.0
747601,2011-01-02 04:00:00,28079004,7,8,79.0
747602,2011-01-03 04:00:00,28079004,7,8,102.0
747603,2011-01-04 04:00:00,28079004,7,8,33.0
747604,2011-01-05 04:00:00,28079004,7,8,57.0
747605,2011-01-06 04:00:00,28079004,7,8,18.0
747606,2011-01-07 04:00:00,28079004,7,8,19.0
747607,2011-01-08 04:00:00,28079004,7,8,18.0
747608,2011-01-09 04:00:00,28079004,7,8,21.0
747609,2011-01-10 04:00:00,28079004,7,8,22.0
747610,2011-01-11 04:00:00,28079004,7,8,18.0
747611,2011-01-12 04:00:00,28079004,7,8,189.0
747612,2011-01-13 04:00:00,28079004,7,8,204.0
747613,2011-01-14 04:00:00,28079004,7,8,202.0
747614,2011-01-15 04:00:00,28079004,7,8,132.0
747615,2011-01-16 04:00:00,28079004,7,8,122.0
747616,2011-01-17 04:00:00,28079004,7,8,137.0
747617,2011-01-18 04:00:00,28079004,7,8,167.0
747618,2011-01-19 04:00:00,28079004,7,8,153.0
747619,2011-01-20 04:00:00,28079004,7,8,95.0
747620,2011-01-21 04:00:00,28079004,7,8,17.0
747621,2011-01-22 04:00:00,28079004,7,8,15.0
747622,2011-01-23 04:00:00,28079004,7,8,16.0
747623,2011-01-24 04:00:00,28079004,7,8,72.0
747624,2011-01-25 04:00:00,28079004,7,8,116.0
747625,2011-01-26 04:00:00,28079004,7,8,122.0
747626,2011-01-27 04:00:00,28079004,7,8,68.0
747627,2011-01-28 04:00:00,28079004,7,8,23.0
747628,2011-01-29 04:00:00,28079004,7,8,10.0
747629,2011-01-30 04:00:00,28079004,7,8,23.0
747630,2011-01-31 04:00:00,28079004,7,8,57.0
747631,2011-02-01 04:00:00,28079004,7,8,69.0
747632,2011-02-02 04:00:00,28079004,7,8,174.0
747633,2011-02-03 04:00:00,28079004,7,8,197.0
747634,2011-02-04 04:00:00,28079004,7,8,183.0
747635,2011-02-05 04:00:00,28079004,7,8,135.0
747636,2011-02-06 04:00:00,28079004,7,8,143.0
747637,2011-02-07 04:00:00,28079004,7,8,171.0
747638,2011-02-08 04:00:00,28079004,7,8,148.0
747639,2011-02-09 04:00:00,28079004,7,8,135.0
747640,2011-02-10 04:00:00,28079004,7,8,127.0
747641,2011-02-11 04:00:00,28079004,7,8,136.0
747642,2011-02-12 04:00:00,28079004,7,8,67.0
747643,2011-02-13 04:00:00,28079004,7,8,20.0
747644,2011-02-14 04:00:00,28079004,7,8,11.0
747645,2011-02-15 04:00:00,28079004,7,8,19.0
747646,2011-02-16 04:00:00,28079004,7,8,15.0
747647,2011-02-17 04:00:00,28079004,7,8,10.0
747648,2011-02-18 04:00:00,28079004,7,8,39.0
747649,2011-02-19 04:00:00,28079004,7,8,28.0
747650,2011-02-20 04:00:00,28079004,7,8,12.0
747651,2011-02-21 04:00:00,28079004,7,8,8.0
747652,2011-02-22 04:00:00,28079004,7,8,12.0
747653,2011-02-23 04:00:00,28079004,7,8,79.0
747654,2011-02-24 04:00:00,28079004,7,8,89.0
747655,2011-02-25 04:00:00,28079004,7,8,159.0
747656,2011-02-26 04:00:00,28079004,7,8,136.0
747657,2011-02-27 04:00:00,28079004,7,8,39.0
747658,2011-02-28 04:00:00,28079004,7,8,21.0
747659,2011-03-01 04:00:00,28079004,7,8,18.0
747660,2011-03-02 04:00:00,28079004,7,8,39.0
747661,2011-03-03 04:00:00,28079004,7,8,67.0
747662,2011-03-04 04:00:00,28079004,7,8,45.0
747663,2011-03-05 04:00:00,28079004,7,8,43.0
747664,2011-03-06 04:00:00,28079004,7,8,92.0
747665,2011-03-07 04:00:00,28079004,7,8,92.0
747666,2011-03-08 04:00:00,28079004,7,8,44.0
747667,2011-03-09 04:00:00,28079004,7,8,41.0
747668,2011-03-10 04:00:00,28079004,7,8,84.0
747669,2011-03-11 04:00:00,28079004,7,8,86.0
747670,2011-03-12 04:00:00,28079004,7,8,14.0
747671,2011-03-13 04:00:00,28079004,7,8,8.0
747672,2011-03-14 04:00:00,28079004,7,8,17.0
747673,2011-03-15 04:00:00,28079004,7,8,7.0
747674,2011-03-16 04:00:00,28079004,7,8,9.0
747675,2011-03-17 04:00:00,28079004,7,8,34.0
747676,2011-03-19 04:00:00,28079004,7,8,44.0
747677,2011-03-20 04:00:00,28079004,7,8,66.0
747678,2011-03-21 04:00:00,28079004,7,8,21.0
747679,2011-03-22 04:00:00,28079004,7,8,13.0
747680,2011-03-23 04:00:00,28079004,7,8,17.0
747681,2011-03-24 04:00:00,28079004,7,8,19.0
747682,2011-03-25 04:00:00,28079004,7,8,30.0
747683,2011-03-26 04:00:00,28079004,7,8,22.0
747684,2011-03-27 04:00:00,28079004,7,8,6.0
747685,2011-03-28 04:00:00,28079004,7,8,10.0
747686,2011-03-29 04:00:00,28079004,7,8,13.0
747687,2011-03-30 04:00:00,28079004,7,8,15.0
747688,2011-03-31 04:00:00,28079004,7,8,63.0
747689,2011-04-01 04:00:00,28079004,7,8,88.0
747690,2011-04-02 04:00:00,28079004,7,8,63.0
747691,2011-04-03 04:00:00,28079004,7,8,41.0
747692,2011-04-04 04:00:00,28079004,7,8,24.0
747693,2011-04-05 04:00:00,28079004,7,8,48.0
747694,2011-04-06 04:00:00,28079004,7,8,32.0
747695,2011-04-07 04:00:00,28079004,7,8,82.0
747696,2011-04-08 04:00:00,28079004,7,8,85.0
747697,2011-04-09 04:00:00,28079004,7,8,53.0
747698,2011-04-10 04:00:00,28079004,7,8,26.0
747699,2011-04-11 04:00:00,28079004,7,8,7.0
747700,2011-04-12 04:00:00,28079004,7,8,15.0
747701,2011-04-13 04:00:00,28079004,7,8,52.0
747702,2011-04-14 04:00:00,28079004,7,8,65.0
747703,2011-04-15 04:00:00,28079004,7,8,10.0
747704,2011-04-16 04:00:00,28079004,7,8,9.0
747705,2011-04-17 04:00:00,28079004,7,8,7.0
747706,2011-04-18 04:00:00,28079004,7,8,11.0
747707,2011-04-19 04:00:00,28079004,7,8,8.0
747708,2011-04-20 04:00:00,28079004,7,8,12.0
747709,2011-04-21 04:00:00,28079004,7,8,5.0
747710,2011-04-22 04:00:00,28079004,7,8,4.0
747711,2011-04-23 04:00:00,28079004,7,8,8.0
747712,2011-04-24 04:00:00,28079004,7,8,5.0
747713,2011-04-25 04:00:00,28079004,7,8,11.0
747714,2011-04-27 04:00:00,28079004,7,8,19.0
747715,2011-04-28 04:00:00,28079004,7,8,17.0
747716,2011-04-29 04:00:00,28079004,7,8,13.0
747717,2011-04-30 04:00:00,28079004,7,8,13.0
747718,2011-05-01 04:00:00,28079004,7,8,10.0
747719,2011-05-02 04:00:00,28079004,7,8,9.0
747720,2011-05-03 04:00:00,28079004,7,8,26.0
747721,2011-05-04 04:00:00,28079004,7,8,30.0
747722,2011-05-05 04:00:00,28079004,7,8,54.0
747723,2011-05-06 04:00:00,28079004,7,8,15.0
747724,2011-05-07 04:00:00,28079004,7,8,9.0
747725,2011-05-08 04:00:00,28079004,7,8,14.0
747726,2011-05-09 04:00:00,28079004,7,8,40.0
747727,2011-05-10 04:00:00,28079004,7,8,16.0
747728,2011-05-11 04:00:00,28079004,7,8,23.0
747729,2011-05-12 04:00:00,28079004,7,8,41.0
747730,2011-05-13 04:00:00,28079004,7,8,14.0
747731,2011-05-14 04:00:00,28079004,7,8,20.0
747732,2011-05-15 04:00:00,28079004,7,8,11.0
747733,2011-05-16 04:00:00,28079004,7,8,11.0
747734,2011-05-17 04:00:00,28079004,7,8,16.0
747735,2011-05-18 04:00:00,28079004,7,8,27.0
747736,2011-05-19 04:00:00,28079004,7,8,15.0
747737,2011-05-20 04:00:00,28079004,7,8,33.0
747738,2011-05-21 04:00:00,28079004,7,8,18.0
747739,2011-05-22 04:00:00,28079004,7,8,20.0
747740,2011-05-23 04:00:00,28079004,7,8,24.0
747741,2011-05-24 04:00:00,28079004,7,8,20.0
747742,2011-05-25 04:00:00,28079004,7,8,17.0
747743,2011-05-26 04:00:00,28079004,7,8,29.0
747744,2011-05-27 04:00:00,28079004,7,8,10.0
747745,2011-05-28 04:00:00,28079004,7,8,21.0
747746,2011-05-29 04:00:00,28079004,7,8,5.0
747747,2011-05-30 04:00:00,28079004,7,8,10.0
747748,2011-05-31 04:00:00,28079004,7,8,7.0
747749,2011-06-01 04:00:00,28079004,7,8,6.0
747750,2011-06-02 04:00:00,28079004,7,8,6.0
747751,2011-06-03 04:00:00,28079004,7,8,8.0
747752,2011-06-04 04:00:00,28079004,7,8,15.0
747753,2011-06-05 04:00:00,28079004,7,8,5.0
747754,2011-06-06 04:00:00,28079004,7,8,12.0
747755,2011-06-07 04:00:00,28079004,7,8,8.0
747756,2011-06-08 04:00:00,28079004,7,8,8.0
747757,2011-06-09 04:00:00,28079004,7,8,13.0
747758,2011-06-10 04:00:00,28079004,7,8,15.0
747759,2011-06-11 04:00:00,28079004,7,8,27.0
747760,2011-06-12 04:00:00,28079004,7,8,25.0
747761,2011-06-13 04:00:00,28079004,7,8,22.0
747762,2011-06-14 04:00:00,28079004,7,8,28.0
747763,2011-06-15 04:00:00,28079004,7,8,40.0
747764,2011-06-16 04:00:00,28079004,7,8,14.0
747765,2011-06-17 04:00:00,28079004,7,8,22.0
747766,2011-06-18 04:00:00,28079004,7,8,11.0
