,DATE,ESTACION,MAGNITUD,TECNICA,VALUE
4695,2001-01-01 04:00:00,28079002,30,59,4.16
4696,2001-01-02 04:00:00,28079002,30,59,3.27
4697,2001-01-03 04:00:00,28079002,30,59,3.13
4698,2001-01-04 04:00:00,28079002,30,59,3.26
4699,2001-01-05 04:00:00,28079002,30,59,3.8
4700,2001-01-06 04:00:00,28079002,30,59,1.81
4701,2001-01-07 04:00:00,28079002,30,59,1.35
4702,2001-01-08 04:00:00,28079002,30,59,3.7
4703,2001-01-09 04:00:00,28079002,30,59,3.87
4704,2001-01-10 04:00:00,28079002,30,59,6.25
4705,2001-01-11 04:00:00,28079002,30,59,5.06
4706,2001-01-12 04:00:00,28079002,30,59,2.48
4707,2001-01-13 04:00:00,28079002,30,59,0.67
4708,2001-01-14 04:00:00,28079002,30,59,0.2
4709,2001-01-15 04:00:00,28079002,30,59,3.24
4710,2001-01-16 04:00:00,28079002,30,59,4.04
4711,2001-01-17 04:00:00,28079002,30,59,3.99
4712,2001-01-18 04:00:00,28079002,30,59,4.51
4713,2001-01-19 04:00:00,28079002,30,59,3.14
4714,2001-01-20 04:00:00,28079002,30,59,5.22
4715,2001-01-21 04:00:00,28079002,30,59,4.99
4716,2001-01-22 04:00:00,28079002,30,59,5.94
4717,2001-01-23 04:00:00,28079002,30,59,3.03
4718,2001-01-24 04:00:00,28079002,30,59,2.34
4719,2001-01-25 04:00:00,28079002,30,59,1.96
4720,2001-01-26 04:00:00,28079002,30,59,2.82
4721,2001-01-27 04:00:00,28079002,30,59,2.63
4722,2001-01-28 04:00:00,28079002,30,59,1.29
4723,2001-01-29 04:00:00,28079002,30,59,1.51
4724,2001-01-30 04:00:00,28079002,30,59,3.96
4725,2001-01-31 04:00:00,28079002,30,59,5.52
4726,2001-02-01 04:00:00,28079002,30,59,3.95
4727,2001-02-02 04:00:00,28079002,30,59,7.24
4728,2001-02-03 04:00:00,28079002,30,59,6.21
4729,2001-02-04 04:00:00,28079002,30,59,3.87
4730,2001-02-05 04:00:00,28079002,30,59,5.21
4731,2001-02-06 04:00:00,28079002,30,59,3.89
4732,2001-02-07 04:00:00,28079002,30,59,2.61
4733,2001-02-08 04:00:00,28079002,30,59,2.13
4734,2001-02-09 04:00:00,28079002,30,59,2.53
4735,2001-02-10 04:00:00,28079002,30,59,2.76
4736,2001-02-11 04:00:00,28079002,30,59,4.51
4737,2001-02-12 04:00:00,28079002,30,59,4.21
4738,2001-02-13 04:00:00,28079002,30,59,5.59
4739,2001-02-14 04:00:00,28079002,30,59,1.66
4740,2001-02-15 04:00:00,28079002,30,59,1.42
4741,2001-02-16 04:00:00,28079002,30,59,1.67
4742,2001-02-17 04:00:00,28079002,30,59,3.63
4743,2001-02-18 04:00:00,28079002,30,59,1.67
4744,2001-02-19 04:00:00,28079002,30,59,1.89
4745,2001-02-20 04:00:00,28079002,30,59,3.65
4746,2001-02-21 04:00:00,28079002,30,59,5.72
4747,2001-02-22 04:00:00,28079002,30,59,8.04
4748,2001-02-23 04:00:00,28079002,30,59,7.67
4749,2001-02-24 04:00:00,28079002,30,59,2.27
4750,2001-02-25 04:00:00,28079002,30,59,1.2
4751,2001-02-26 04:00:00,28079002,30,59,3.72
4752,2001-02-27 04:00:00,28079002,30,59,2.57
4753,2001-02-28 04:00:00,28079002,30,59,1.58
4754,2001-03-01 04:00:00,28079002,30,59,3.54
4755,2001-03-02 04:00:00,28079002,30,59,4.88
4756,2001-03-03 04:00:00,28079002,30,59,3.54
4757,2001-03-04 04:00:00,28079002,30,59,3.88
4758,2001-03-05 04:00:00,28079002,30,59,4.94
4759,2001-03-06 04:00:00,28079002,30,59,3.71
4760,2001-03-07 04:00:00,28079002,30,59,2.86
4761,2001-03-08 04:00:00,28079002,30,59,2.7
4762,2001-03-09 04:00:00,28079002,30,59,3.34
4763,2001-03-10 04:00:00,28079002,30,59,3.41
4764,2001-03-11 04:00:00,28079002,30,59,3.84
4765,2001-03-12 04:00:00,28079002,30,59,2.98
