,DATE,ESTACION,MAGNITUD,TECNICA,VALUE
6447,2001-01-01 04:00:00,28079002,42,2,1.6
6448,2001-01-02 04:00:00,28079002,42,2,1.45
6449,2001-01-03 04:00:00,28079002,42,2,1.54
6450,2001-01-04 04:00:00,28079002,42,2,1.56
6451,2001-01-05 04:00:00,28079002,42,2,1.74
6452,2001-01-06 04:00:00,28079002,42,2,1.4
6453,2001-01-07 04:00:00,28079002,42,2,1.41
6454,2001-01-08 04:00:00,28079002,42,2,1.72
6455,2001-01-09 04:00:00,28079002,42,2,1.61
6456,2001-01-10 04:00:00,28079002,42,2,1.88
6457,2001-01-11 04:00:00,28079002,42,2,1.59
6458,2001-01-12 04:00:00,28079002,42,2,1.4
6459,2001-01-13 04:00:00,28079002,42,2,1.59
6460,2001-01-14 04:00:00,28079002,42,2,1.86
6461,2001-01-15 04:00:00,28079002,42,2,1.79
6462,2001-01-16 04:00:00,28079002,42,2,1.51
6463,2001-01-17 04:00:00,28079002,42,2,1.51
6464,2001-01-18 04:00:00,28079002,42,2,1.56
6465,2001-01-19 04:00:00,28079002,42,2,1.5
6466,2001-01-20 04:00:00,28079002,42,2,1.89
6467,2001-01-21 04:00:00,28079002,42,2,1.92
6468,2001-01-22 04:00:00,28079002,42,2,1.95
6469,2001-01-23 04:00:00,28079002,42,2,1.54
6470,2001-01-24 04:00:00,28079002,42,2,1.45
6471,2001-01-25 04:00:00,28079002,42,2,1.42
6472,2001-01-26 04:00:00,28079002,42,2,1.49
6473,2001-01-27 04:00:00,28079002,42,2,1.46
6474,2001-01-28 04:00:00,28079002,42,2,1.33
6475,2001-01-29 04:00:00,28079002,42,2,1.41
6476,2001-01-30 04:00:00,28079002,42,2,1.92
6477,2001-01-31 04:00:00,28079002,42,2,1.95
6478,2001-02-01 04:00:00,28079002,42,2,1.7
6479,2001-02-02 04:00:00,28079002,42,2,1.95
6480,2001-02-03 04:00:00,28079002,42,2,1.78
6481,2001-02-04 04:00:00,28079002,42,2,1.7
6482,2001-02-05 04:00:00,28079002,42,2,1.62
6483,2001-02-06 04:00:00,28079002,42,2,1.58
6484,2001-02-07 04:00:00,28079002,42,2,1.52
6485,2001-02-08 04:00:00,28079002,42,2,1.46
6486,2001-02-09 04:00:00,28079002,42,2,1.58
6487,2001-02-10 04:00:00,28079002,42,2,1.69
6488,2001-02-11 04:00:00,28079002,42,2,2.1
6489,2001-02-12 04:00:00,28079002,42,2,1.76
6490,2001-02-13 04:00:00,28079002,42,2,1.71
6491,2001-02-14 04:00:00,28079002,42,2,1.34
6492,2001-02-15 04:00:00,28079002,42,2,1.33
6493,2001-02-16 04:00:00,28079002,42,2,1.37
6494,2001-02-17 04:00:00,28079002,42,2,1.55
6495,2001-02-18 04:00:00,28079002,42,2,1.59
6496,2001-02-19 04:00:00,28079002,42,2,1.42
6497,2001-02-20 04:00:00,28079002,42,2,1.58
6498,2001-02-21 04:00:00,28079002,42,2,1.81
6499,2001-02-22 04:00:00,28079002,42,2,2.01
6500,2001-02-23 04:00:00,28079002,42,2,1.96
6501,2001-02-24 04:00:00,28079002,42,2,1.4
6502,2001-02-25 04:00:00,28079002,42,2,1.3
6503,2001-02-26 04:00:00,28079002,42,2,1.58
6504,2001-02-27 04:00:00,28079002,42,2,1.42
6505,2001-02-28 04:00:00,28079002,42,2,1.43
6506,2001-03-01 04:00:00,28079002,42,2,1.59
6507,2001-03-02 04:00:00,28079002,42,2,1.51
6508,2001-03-03 04:00:00,28079002,42,2,1.41
6509,2001-03-04 04:00:00,28079002,42,2,1.47
6510,2001-03-05 04:00:00,28079002,42,2,1.62
6511,2001-03-06 04:00:00,28079002,42,2,1.57
6512,2001-03-07 04:00:00,28079002,42,2,1.54
6513,2001-03-08 04:00:00,28079002,42,2,1.4
6514,2001-03-09 04:00:00,28079002,42,2,1.36
6515,2001-03-10 04:00:00,28079002,42,2,1.34
6516,2001-03-11 04:00:00,28079002,42,2,1.41
6517,2001-03-12 04:00:00,28079002,42,2,1.71
6518,2001-03-13 04:00:00,28079002,42,2,1.34
6519,2001-03-14 04:00:00,28079002,42,2,1.55
6520,2001-03-15 04:00:00,28079002,42,2,1.52
6521,2001-03-16 04:00:00,28079002,42,2,1.56
6522,2001-03-17 04:00:00,28079002,42,2,1.36
6523,2001-03-18 04:00:00,28079002,42,2,1.4
6524,2001-03-19 04:00:00,28079002,42,2,1.46
6525,2001-03-20 04:00:00,28079002,42,2,1.67
6526,2001-03-21 04:00:00,28079002,42,2,1.43
6527,2001-03-22 04:00:00,28079002,42,2,1.54
6528,2001-03-23 04:00:00,28079002,42,2,1.65
6529,2001-03-24 04:00:00,28079002,42,2,1.44
6530,2001-03-25 04:00:00,28079002,42,2,1.35
6531,2001-03-26 04:00:00,28079002,42,2,1.51
6532,2001-03-27 04:00:00,28079002,42,2,1.44
6533,2001-03-28 04:00:00,28079002,42,2,1.37
6534,2001-03-29 04:00:00,28079002,42,2,1.34
6535,2001-03-30 04:00:00,28079002,42,2,1.35
6536,2001-03-31 04:00:00,28079002,42,2,1.33
6537,2001-04-01 04:00:00,28079002,42,2,1.39
6538,2001-04-02 04:00:00,28079002,42,2,1.47
6539,2001-04-03 04:00:00,28079002,42,2,1.33
6540,2001-04-04 04:00:00,28079002,42,2,1.4
6541,2001-04-05 04:00:00,28079002,42,2,1.38
6542,2001-04-06 04:00:00,28079002,42,2,1.77
6543,2001-04-07 04:00:00,28079002,42,2,1.27
6544,2001-04-08 04:00:00,28079002,42,2,1.28
6545,2001-04-09 04:00:00,28079002,42,2,1.47
6546,2001-04-10 04:00:00,28079002,42,2,1.37
6547,2001-04-11 04:00:00,28079002,42,2,1.24
6548,2001-04-12 04:00:00,28079002,42,2,1.23
6549,2001-04-13 04:00:00,28079002,42,2,1.21
6550,2001-04-14 04:00:00,28079002,42,2,1.22
6551,2001-04-15 04:00:00,28079002,42,2,1.35
6552,2001-04-16 04:00:00,28079002,42,2,1.65
6553,2001-04-17 04:00:00,28079002,42,2,1.28
6554,2001-04-18 04:00:00,28079002,42,2,1.26
6555,2001-04-19 04:00:00,28079002,42,2,1.31
6556,2001-04-20 04:00:00,28079002,42,2,1.24
6557,2001-04-21 04:00:00,28079002,42,2,1.29
6558,2001-04-22 04:00:00,28079002,42,2,1.31
6559,2001-04-23 04:00:00,28079002,42,2,1.3
6560,2001-04-24 04:00:00,28079002,42,2,1.36
6561,2001-04-25 04:00:00,28079002,42,2,1.3
6562,2001-04-26 04:00:00,28079002,42,2,1.35
6563,2001-04-27 04:00:00,28079002,42,2,1.34
6564,2001-04-28 04:00:00,28079002,42,2,1.38
6565,2001-04-29 04:00:00,28079002,42,2,1.61
6566,2001-04-30 04:00:00,28079002,42,2,1.25
6567,2001-05-01 04:00:00,28079002,42,2,1.23
6568,2001-05-02 04:00:00,28079002,42,2,1.52
6569,2001-05-03 04:00:00,28079002,42,2,1.35
6570,2001-05-04 04:00:00,28079002,42,2,1.28
6571,2001-05-05 04:00:00,28079002,42,2,1.26
6572,2001-05-06 04:00:00,28079002,42,2,1.23
6573,2001-05-07 04:00:00,28079002,42,2,1.3
6574,2001-05-08 04:00:00,28079002,42,2,1.27
6575,2001-05-09 04:00:00,28079002,42,2,1.31
6576,2001-05-10 04:00:00,28079002,42,2,1.36
6577,2001-05-11 04:00:00,28079002,42,2,1.63
6578,2001-05-12 04:00:00,28079002,42,2,1.49
6579,2001-05-13 04:00:00,28079002,42,2,1.27
6580,2001-05-14 04:00:00,28079002,42,2,1.38
6581,2001-05-15 04:00:00,28079002,42,2,1.29
6582,2001-05-16 04:00:00,28079002,42,2,1.36
6583,2001-05-17 04:00:00,28079002,42,2,1.36
6584,2001-05-18 04:00:00,28079002,42,2,1.2
6585,2001-05-19 04:00:00,28079002,42,2,1.23
6586,2001-05-20 04:00:00,28079002,42,2,1.28
6587,2001-05-21 04:00:00,28079002,42,2,1.49
6588,2001-05-22 04:00:00,28079002,42,2,1.49
6589,2001-05-23 04:00:00,28079002,42,2,1.32
6590,2001-05-24 04:00:00,28079002,42,2,1.31
6591,2001-05-25 04:00:00,28079002,42,2,1.35
6592,2001-05-26 04:00:00,28079002,42,2,1.27
6593,2001-05-27 04:00:00,28079002,42,2,1.32
6594,2001-05-28 04:00:00,28079002,42,2,1.47
6595,2001-05-29 04:00:00,28079002,42,2,1.49
6596,2001-05-30 04:00:00,28079002,42,2,1.46
6597,2001-05-31 04:00:00,28079002,42,2,1.46
6598,2001-06-01 04:00:00,28079002,42,2,1.27
6599,2001-06-02 04:00:00,28079002,42,2,1.27
6600,2001-06-03 04:00:00,28079002,42,2,1.37
6601,2001-06-04 04:00:00,28079002,42,2,1.4
6602,2001-06-05 04:00:00,28079002,42,2,1.46
6603,2001-06-06 04:00:00,28079002,42,2,1.25
6604,2001-06-07 04:00:00,28079002,42,2,1.31
6605,2001-06-08 04:00:00,28079002,42,2,1.59
6606,2001-06-09 04:00:00,28079002,42,2,1.27
6607,2001-06-10 04:00:00,28079002,42,2,1.24
6608,2001-06-11 04:00:00,28079002,42,2,1.22
6609,2001-06-12 04:00:00,28079002,42,2,1.33
6610,2001-06-13 04:00:00,28079002,42,2,1.41
6611,2001-06-14 04:00:00,28079002,42,2,1.46
6612,2001-06-15 04:00:00,28079002,42,2,1.34
6613,2001-06-16 04:00:00,28079002,42,2,1.22
6614,2001-06-17 04:00:00,28079002,42,2,1.22
6615,2001-06-18 04:00:00,28079002,42,2,1.2
6616,2001-06-19 04:00:00,28079002,42,2,1.3
6617,2001-06-20 04:00:00,28079002,42,2,1.51
6618,2001-06-21 04:00:00,28079002,42,2,1.44
6619,2001-06-22 04:00:00,28079002,42,2,1.38
6620,2001-06-23 04:00:00,28079002,42,2,1.54
6621,2001-06-24 04:00:00,28079002,42,2,1.36
6622,2001-06-25 04:00:00,28079002,42,2,1.52
6623,2001-06-26 04:00:00,28079002,42,2,1.34
6624,2001-06-27 04:00:00,28079002,42,2,1.29
6625,2001-06-28 04:00:00,28079002,42,2,1.35
6626,2001-06-29 04:00:00,28079002,42,2,1.45
6627,2001-07-01 04:00:00,28079002,42,2,1.35
6628,2001-07-02 04:00:00,28079002,42,2,1.37
6629,2001-07-03 04:00:00,28079002,42,2,1.29
6630,2001-07-04 04:00:00,28079002,42,2,1.29
6631,2001-07-05 04:00:00,28079002,42,2,1.27
6632,2001-07-06 04:00:00,28079002,42,2,1.28
6633,2001-07-07 04:00:00,28079002,42,2,1.31
6634,2001-07-08 04:00:00,28079002,42,2,1.33
6635,2001-07-09 04:00:00,28079002,42,2,1.24
6636,2001-07-10 04:00:00,28079002,42,2,1.33
6637,2001-07-11 04:00:00,28079002,42,2,1.46
6638,2001-07-12 04:00:00,28079002,42,2,1.35
6639,2001-07-13 04:00:00,28079002,42,2,1.33
6640,2001-07-14 04:00:00,28079002,42,2,1.24
6641,2001-07-15 04:00:00,28079002,42,2,1.22
6642,2001-07-16 04:00:00,28079002,42,2,1.22
6643,2001-07-17 04:00:00,28079002,42,2,1.28
6644,2001-07-18 04:00:00,28079002,42,2,1.22
6645,2001-07-19 04:00:00,28079002,42,2,1.24
6646,2001-07-20 04:00:00,28079002,42,2,1.32
6647,2001-07-21 04:00:00,28079002,42,2,1.33
6648,2001-07-22 04:00:00,28079002,42,2,1.36
6649,2001-07-23 04:00:00,28079002,42,2,1.33
6650,2001-07-24 04:00:00,28079002,42,2,1.38
6651,2001-07-25 04:00:00,28079002,42,2,1.39
6652,2001-07-26 04:00:00,28079002,42,2,1.43
6653,2001-07-27 04:00:00,28079002,42,2,1.34
6654,2001-07-28 04:00:00,28079002,42,2,1.29
6655,2001-07-29 04:00:00,28079002,42,2,1.21
6656,2001-07-30 04:00:00,28079002,42,2,1.28
6657,2001-07-31 04:00:00,28079002,42,2,1.31
6658,2001-08-01 04:00:00,28079002,42,2,1.35
6659,2001-08-02 04:00:00,28079002,42,2,1.28
6660,2001-08-03 04:00:00,28079002,42,2,1.26
6661,2001-08-04 04:00:00,28079002,42,2,1.19
6662,2001-08-05 04:00:00,28079002,42,2,1.21
6663,2001-08-06 04:00:00,28079002,42,2,1.32
6664,2001-08-07 04:00:00,28079002,42,2,1.28
6665,2001-08-08 04:00:00,28079002,42,2,1.28
6666,2001-08-09 04:00:00,28079002,42,2,1.25
6667,2001-08-10 04:00:00,28079002,42,2,1.22
6668,2001-08-11 04:00:00,28079002,42,2,1.23
6669,2001-08-12 04:00:00,28079002,42,2,1.32
6670,2001-08-13 04:00:00,28079002,42,2,1.28
6671,2001-08-14 04:00:00,28079002,42,2,1.29
6672,2001-08-15 04:00:00,28079002,42,2,1.37
6673,2001-08-16 04:00:00,28079002,42,2,1.28
6674,2001-08-17 04:00:00,28079002,42,2,1.27
6675,2001-08-18 04:00:00,28079002,42,2,1.26
6676,2001-08-19 04:00:00,28079002,42,2,1.25
6677,2001-08-20 04:00:00,28079002,42,2,1.25
6678,2001-08-21 04:00:00,28079002,42,2,1.57
6679,2001-08-22 04:00:00,28079002,42,2,1.45
6680,2001-08-23 04:00:00,28079002,42,2,1.4
6681,2001-08-24 04:00:00,28079002,42,2,1.5
6682,2001-08-25 04:00:00,28079002,42,2,1.33
6683,2001-08-26 04:00:00,28079002,42,2,1.28
6684,2001-08-27 04:00:00,28079002,42,2,1.27
6685,2001-08-28 04:00:00,28079002,42,2,1.37
6686,2001-08-29 04:00:00,28079002,42,2,1.27
6687,2001-08-30 04:00:00,28079002,42,2,1.23
6688,2001-08-31 04:00:00,28079002,42,2,1.22
6689,2001-09-01 04:00:00,28079002,42,2,1.18
6690,2001-09-02 04:00:00,28079002,42,2,1.24
6691,2001-09-03 04:00:00,28079002,42,2,1.28
6692,2001-09-04 04:00:00,28079002,42,2,1.28
6693,2001-09-05 04:00:00,28079002,42,2,1.23
6694,2001-09-06 04:00:00,28079002,42,2,1.25
6695,2001-09-07 04:00:00,28079002,42,2,1.21
6696,2001-09-08 04:00:00,28079002,42,2,1.28
6697,2001-09-09 04:00:00,28079002,42,2,1.26
6698,2001-09-10 04:00:00,28079002,42,2,1.26
6699,2001-09-11 04:00:00,28079002,42,2,1.32
6700,2001-09-12 04:00:00,28079002,42,2,1.39
6701,2001-09-13 04:00:00,28079002,42,2,1.5
6702,2001-09-14 04:00:00,28079002,42,2,1.31
6703,2001-09-15 04:00:00,28079002,42,2,1.25
6704,2001-09-16 04:00:00,28079002,42,2,1.26
6705,2001-09-17 04:00:00,28079002,42,2,1.24
6706,2001-09-18 04:00:00,28079002,42,2,1.23
6707,2001-09-19 04:00:00,28079002,42,2,1.34
6708,2001-09-20 04:00:00,28079002,42,2,1.45
6709,2001-09-21 04:00:00,28079002,42,2,1.34
6710,2001-09-22 04:00:00,28079002,42,2,1.31
6711,2001-09-23 04:00:00,28079002,42,2,1.24
6712,2001-09-24 04:00:00,28079002,42,2,1.3
6713,2001-09-25 04:00:00,28079002,42,2,1.35
6714,2001-09-26 04:00:00,28079002,42,2,1.39
6715,2001-09-27 04:00:00,28079002,42,2,1.42
6716,2001-09-28 04:00:00,28079002,42,2,1.44
6717,2001-09-29 04:00:00,28079002,42,2,1.56
