,DATE,ESTACION,MAGNITUD,TECNICA,VALUE
6095,2001-01-01 04:00:00,28079002,39,59,3.53
6096,2001-01-02 04:00:00,28079002,39,59,3.09
6097,2001-01-03 04:00:00,28079002,39,59,3.05
6098,2001-01-04 04:00:00,28079002,39,59,3.32
6099,2001-01-05 04:00:00,28079002,39,59,4.04
6100,2001-01-06 04:00:00,28079002,39,59,1.73
6101,2001-01-07 04:00:00,28079002,39,59,1.16
6102,2001-01-08 04:00:00,28079002,39,59,3.52
6103,2001-01-09 04:00:00,28079002,39,59,3.82
6104,2001-01-10 04:00:00,28079002,39,59,6.25
6105,2001-01-11 04:00:00,28079002,39,59,4.86
6106,2001-01-12 04:00:00,28079002,39,59,2.26
6107,2001-01-13 04:00:00,28079002,39,59,1.2
6108,2001-01-14 04:00:00,28079002,39,59,1.0
6109,2001-01-15 04:00:00,28079002,39,59,3.57
6110,2001-01-16 04:00:00,28079002,39,59,3.77
6111,2001-01-17 04:00:00,28079002,39,59,3.77
6112,2001-01-18 04:00:00,28079002,39,59,4.21
6113,2001-01-19 04:00:00,28079002,39,59,2.79
6114,2001-01-20 04:00:00,28079002,39,59,4.82
6115,2001-01-21 04:00:00,28079002,39,59,4.5
6116,2001-01-22 04:00:00,28079002,39,59,5.45
6117,2001-01-23 04:00:00,28079002,39,59,3.1
6118,2001-01-24 04:00:00,28079002,39,59,2.39
6119,2001-01-25 04:00:00,28079002,39,59,1.88
6120,2001-01-26 04:00:00,28079002,39,59,2.67
6121,2001-01-27 04:00:00,28079002,39,59,2.48
6122,2001-01-28 04:00:00,28079002,39,59,1.18
6123,2001-01-29 04:00:00,28079002,39,59,1.29
6124,2001-01-30 04:00:00,28079002,39,59,4.01
6125,2001-01-31 04:00:00,28079002,39,59,5.44
6126,2001-02-01 04:00:00,28079002,39,59,4.28
6127,2001-02-02 04:00:00,28079002,39,59,7.82
6128,2001-02-03 04:00:00,28079002,39,59,6.33
6129,2001-02-04 04:00:00,28079002,39,59,3.61
6130,2001-02-05 04:00:00,28079002,39,59,5.4
6131,2001-02-06 04:00:00,28079002,39,59,4.34
6132,2001-02-07 04:00:00,28079002,39,59,2.72
6133,2001-02-08 04:00:00,28079002,39,59,2.0
6134,2001-02-09 04:00:00,28079002,39,59,2.29
6135,2001-02-10 04:00:00,28079002,39,59,2.55
6136,2001-02-11 04:00:00,28079002,39,59,4.15
6137,2001-02-12 04:00:00,28079002,39,59,4.3
6138,2001-02-13 04:00:00,28079002,39,59,5.98
6139,2001-02-14 04:00:00,28079002,39,59,1.56
6140,2001-02-15 04:00:00,28079002,39,59,1.03
6141,2001-02-16 04:00:00,28079002,39,59,1.4
6142,2001-02-17 04:00:00,28079002,39,59,3.4
6143,2001-02-18 04:00:00,28079002,39,59,1.73
6144,2001-02-19 04:00:00,28079002,39,59,1.55
6145,2001-02-20 04:00:00,28079002,39,59,3.62
6146,2001-02-21 04:00:00,28079002,39,59,6.25
6147,2001-02-22 04:00:00,28079002,39,59,9.26
6148,2001-02-23 04:00:00,28079002,39,59,8.95
6149,2001-02-24 04:00:00,28079002,39,59,2.16
6150,2001-02-25 04:00:00,28079002,39,59,0.61
6151,2001-02-26 04:00:00,28079002,39,59,3.86
6152,2001-02-27 04:00:00,28079002,39,59,2.52
6153,2001-02-28 04:00:00,28079002,39,59,1.63
6154,2001-03-01 04:00:00,28079002,39,59,4.13
6155,2001-03-02 04:00:00,28079002,39,59,5.25
6156,2001-03-03 04:00:00,28079002,39,59,3.52
6157,2001-03-04 04:00:00,28079002,39,59,3.73
6158,2001-03-05 04:00:00,28079002,39,59,5.26
6159,2001-03-06 04:00:00,28079002,39,59,3.99
6160,2001-03-07 04:00:00,28079002,39,59,3.3
6161,2001-03-08 04:00:00,28079002,39,59,2.83
6162,2001-03-09 04:00:00,28079002,39,59,3.4
6163,2001-03-10 04:00:00,28079002,39,59,3.4
6164,2001-03-11 04:00:00,28079002,39,59,3.94
6165,2001-03-12 04:00:00,28079002,39,59,3.19
6166,2001-03-13 04:00:00,28079002,39,59,1.87
6167,2001-03-14 04:00:00,28079002,39,59,4.72
6168,2001-03-15 04:00:00,28079002,39,59,4.19
6169,2001-03-16 04:00:00,28079002,39,59,4.76
6170,2001-03-17 04:00:00,28079002,39,59,3.04
6171,2001-03-18 04:00:00,28079002,39,59,3.14
6172,2001-03-21 04:00:00,28079002,39,59,4.34
6173,2001-03-22 04:00:00,28079002,39,59,4.76
