,DATE,ESTACION,MAGNITUD,TECNICA,VALUE
5744,2001-01-01 04:00:00,28079002,38,59,2.85
5745,2001-01-02 04:00:00,28079002,38,59,2.49
5746,2001-01-03 04:00:00,28079002,38,59,2.52
5747,2001-01-04 04:00:00,28079002,38,59,2.75
5748,2001-01-05 04:00:00,28079002,38,59,3.47
5749,2001-01-06 04:00:00,28079002,38,59,1.42
5750,2001-01-07 04:00:00,28079002,38,59,0.96
5751,2001-01-08 04:00:00,28079002,38,59,2.95
5752,2001-01-09 04:00:00,28079002,38,59,3.12
5753,2001-01-10 04:00:00,28079002,38,59,5.09
5754,2001-01-11 04:00:00,28079002,38,59,3.91
5755,2001-01-12 04:00:00,28079002,38,59,1.85
5756,2001-01-13 04:00:00,28079002,38,59,1.1
5757,2001-01-14 04:00:00,28079002,38,59,1.0
5758,2001-01-15 04:00:00,28079002,38,59,3.06
5759,2001-01-16 04:00:00,28079002,38,59,3.08
5760,2001-01-17 04:00:00,28079002,38,59,3.12
5761,2001-01-18 04:00:00,28079002,38,59,3.39
5762,2001-01-19 04:00:00,28079002,38,59,2.26
5763,2001-01-20 04:00:00,28079002,38,59,3.95
5764,2001-01-21 04:00:00,28079002,38,59,3.69
5765,2001-01-22 04:00:00,28079002,38,59,4.49
5766,2001-01-23 04:00:00,28079002,38,59,2.56
5767,2001-01-24 04:00:00,28079002,38,59,1.99
5768,2001-01-25 04:00:00,28079002,38,59,1.52
5769,2001-01-26 04:00:00,28079002,38,59,2.17
5770,2001-01-27 04:00:00,28079002,38,59,2.02
5771,2001-01-28 04:00:00,28079002,38,59,0.96
5772,2001-01-29 04:00:00,28079002,38,59,1.08
5773,2001-01-30 04:00:00,28079002,38,59,3.39
5774,2001-01-31 04:00:00,28079002,38,59,4.47
5775,2001-02-01 04:00:00,28079002,38,59,3.54
5776,2001-02-02 04:00:00,28079002,38,59,6.55
5777,2001-02-03 04:00:00,28079002,38,59,5.16
5778,2001-02-04 04:00:00,28079002,38,59,2.92
5779,2001-02-05 04:00:00,28079002,38,59,4.46
5780,2001-02-06 04:00:00,28079002,38,59,3.58
5781,2001-02-07 04:00:00,28079002,38,59,2.23
5782,2001-02-08 04:00:00,28079002,38,59,1.64
5783,2001-02-09 04:00:00,28079002,38,59,1.9
5784,2001-02-10 04:00:00,28079002,38,59,2.14
5785,2001-02-11 04:00:00,28079002,38,59,3.47
5786,2001-02-12 04:00:00,28079002,38,59,3.6
5787,2001-02-13 04:00:00,28079002,38,59,4.95
5788,2001-02-14 04:00:00,28079002,38,59,1.32
5789,2001-02-15 04:00:00,28079002,38,59,0.84
5790,2001-02-16 04:00:00,28079002,38,59,1.15
5791,2001-02-17 04:00:00,28079002,38,59,2.74
5792,2001-02-18 04:00:00,28079002,38,59,1.43
5793,2001-02-19 04:00:00,28079002,38,59,1.29
5794,2001-02-20 04:00:00,28079002,38,59,3.0
5795,2001-02-21 04:00:00,28079002,38,59,5.2
5796,2001-02-22 04:00:00,28079002,38,59,7.77
5797,2001-02-23 04:00:00,28079002,38,59,7.55
5798,2001-02-24 04:00:00,28079002,38,59,1.77
5799,2001-02-25 04:00:00,28079002,38,59,0.52
5800,2001-02-26 04:00:00,28079002,38,59,3.22
5801,2001-02-27 04:00:00,28079002,38,59,2.12
5802,2001-02-28 04:00:00,28079002,38,59,1.35
5803,2001-03-01 04:00:00,28079002,38,59,3.49
5804,2001-03-02 04:00:00,28079002,38,59,4.31
5805,2001-03-03 04:00:00,28079002,38,59,2.89
